DMB-Biosynthesis	PWY-5523;PWY-7729
ARGININE-SYN	PWY-4983;PWY-5154;ARGSYN-PWY;ARGSYNBSUB-PWY;PWY-7400
HEME-SYN	HEME-BIOSYNTHESIS-II;PWY-7552;PWY-5918;HEMESYN2-PWY;PWY0-1415;PWY-7554;PWY-5920
Salicylate-Degradation	PWY-6636;PWY-6183;PWY-6640;PWY-6224
Beta-Alanine-Biosynthesis	PWY-3941;PWY-5155;PWY-3982;PWY-5760;PWY-3981
Creatinine-Degradation	CRNFORCAT-PWY;PWY-4741;PWY-4722
Coenzyme-M-Biosynthesis	PWY-6643;P261-PWY
Molybdenum-Cofactor-Biosynthesis	PWY-6823
N-Acetylglucosamine-Degradation	PWY-6517;GLUAMCAT-PWY
Urate-Degradation	PWY-5691;PWY-7394;P165-PWY
ARGININE-DEG	ARG-GLU-PWY;PWY-4983;ARGDEGRAD-PWY;PWY-5024;ARG-PRO-PWY;ARGDEG-III-PWY;PWY-7523;AST-PWY;PWY0-823;ARGASEDEG-PWY;PWY-5742;ARGDEG-PWY;ARGDEG-IV-PWY;ARGDEG-V-PWY;ORNARGDEG-PWY
MTR-1P-Degradation	PWY-7174;PWY-4361
Chlorobenzoate-Degradation	PWY-6217;PWY-6215;PWY-6221
Phenol-Degradation	PHENOLDEG-PWY;PWY-5418
Ascorbate-Biosynthesis	PWY4FS-11;PWY-6415;PWY-7165;PWY-5521;PWY3DJ-35471;PWY-882
Xylene-Degradation	PWY-5429;PWY-5428
Adenosine-Deoxy-Denovo-Bbiosynthesis	PWY-7227;PWY-7220
UTP-CTP-Dephosphorylation	PWY-7177;PWY-7185
GGPP-Biosynthesis	PWY-5910;PWY-5120;PWY-5121
